host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,property_type,room_type,accommodates,price,number_of_reviews,review_scores_rating,Prices per Person,,,number_of_reviews
50,88,f,,37.97516,23.73094,Entire apartment,Entire home/apt,4,28,83,94,7,,,83
,100,t,,37.98051,23.7265,Entire apartment,Entire home/apt,4,65,91,99,16.25,,,91
,100,t,,37.99142,23.71687,Entire apartment,Entire home/apt,6,40,67,97,6.666666667,,,67
50,100,t,"Athina, Greece",37.97581,23.72894,Entire apartment,Entire home/apt,2,70,57,99,35,,,57
100,0,t,"Athina, Greece",37.97506,23.71857,Entire apartment,Entire home/apt,6,80,31,99,13.33333333,,,31
100,100,t,"Athina, Greece",37.96378,23.71853,Entire apartment,Entire home/apt,2,35,39,98,17.5,,,39
,100,f,,37.96451,23.72148,Entire apartment,Entire home/apt,3,38,142,95,12.66666667,,,142
100,75,t,"Athina, Greece",38.00751,23.72248,Entire apartment,Entire home/apt,2,20,84,97,10,,,84
100,83,t,"Athina, Greece",37.99074,23.72694,Entire apartment,Entire home/apt,5,22,119,96,4.4,,,119
,,,"Athina, Greece",37.9743,23.74885,Entire apartment,Entire home/apt,4,80,65,98,20,,,65
94,100,t,"Athina, Greece",37.96685,23.724,Entire apartment,Entire home/apt,6,55,168,98,9.166666667,,,168
100,100,t,"Athina, Greece",37.96618,23.74443,Entire apartment,Entire home/apt,4,32,138,99,8,,,138
,,f,,37.98708,23.72739,Private room,Private room,3,60,,,20,,,0
100,,f,"Athina, Greece",37.97251,23.74227,Entire apartment,Entire home/apt,4,70,13,97,17.5,,,13
,,f,"Athina, Greece",37.97834,23.70731,Entire apartment,Entire home/apt,5,120,,,24,,,0
100,94,t,"Athina, Greece",37.96837,23.725,Entire apartment,Entire home/apt,4,68,12,93,17,,,12
,100,f,"Athina, Greece",37.99732,23.72212,Entire apartment,Entire home/apt,4,42,60,96,10.5,,,60
,,t,"Athens, Greece",37.97934,23.7228,Entire apartment,Entire home/apt,3,110,52,99,36.66666667,,,52
99,99,t,"Athina, Greece",37.97565,23.71911,Entire apartment,Entire home/apt,3,49,162,98,16.33333333,,,162
,100,t,"Athina, Greece",37.99175,23.73174,Entire apartment,Entire home/apt,3,39,,100,13,,,2
,,,,37.9783,23.75336,Entire apartment,Entire home/apt,3,60,,,20,,,2
50,100,f,"Athina, Greece",37.99059,23.73875,Entire apartment,Entire home/apt,2,40,,,20,,,0
100,99,t,"Athina, Greece",37.97562,23.73008,Entire apartment,Entire home/apt,2,60,231,100,30,,,231
,100,f,,37.97898,23.73678,Entire apartment,Entire home/apt,5,69,,90,13.8,,,4
100,90,t,,37.97743,23.72144,Private room,Private room,2,99,15,93,49.5,,,15
100,100,f,,37.99355,23.72617,Entire apartment,Entire home/apt,4,52,177,94,13,,,177
100,99,f,,37.98291,23.72476,Entire apartment,Entire home/apt,4,46,62,92,11.5,,,62
100,100,t,"Athina, Greece",37.98022,23.70805,Entire apartment,Entire home/apt,4,65,54,99,16.25,,,54
,100,f,"Athina, Greece",37.98391,23.73884,Entire apartment,Entire home/apt,4,50,17,94,12.5,,,17
100,75,f,"Athina, Greece",37.98372,23.75879,Entire apartment,Entire home/apt,4,39,49,96,9.75,,,49
,,f,,37.98327,23.72758,Entire apartment,Entire home/apt,8,350,,,43.75,,,0
,,,"Athina, Greece",37.97206,23.73129,Entire apartment,Entire home/apt,3,39,152,98,13,,,152
100,95,t,"Athens, Greece",37.98785,23.73463,Entire apartment,Entire home/apt,2,25,149,96,12.5,,,149
99,100,f,"Athina, Greece",37.97679,23.72369,Entire apartment,Entire home/apt,3,18,370,94,6,,,370
100,98,f,"Athina, Greece",37.96713,23.72887,Entire apartment,Entire home/apt,4,56,52,97,14,,,52
,50,t,,37.99155,23.75178,Entire apartment,Entire home/apt,2,21,71,97,10.5,,,71
100,99,f,"Athina, Greece",37.99045,23.75786,Entire apartment,Entire home/apt,2,42,,91,21,,,9
100,99,f,"Athina, Greece",37.99049,23.75747,Entire apartment,Entire home/apt,2,40,,77,20,,,6
,,f,,37.98542,23.72327,Entire apartment,Entire home/apt,3,31,90,96,10.33333333,,,90
99,96,t,"Athina, Greece",37.97448,23.7185,Entire apartment,Entire home/apt,5,50,78,97,10,,,78
100,100,t,"Athina, Greece",37.97415,23.71766,Entire apartment,Entire home/apt,4,33,41,99,8.25,,,41
,,f,,37.97038,23.71004,Entire apartment,Entire home/apt,2,25,,,12.5,,,0
0,,f,,37.96438,23.72436,Entire apartment,Entire home/apt,3,35,20,82,11.66666667,,,20
100,100,f,"Athina, Greece",37.98321,23.72496,Entire apartment,Entire home/apt,3,28,46,92,9.333333333,,,46
100,100,t,"Athina, Greece",37.96797,23.71176,Private room in apartment,Private room,2,25,256,98,12.5,,,256
100,100,t,,37.97148,23.73022,Entire apartment,Entire home/apt,3,45,246,99,15,,,246
100,100,t,"Athens, Attica, Greece",37.98698,23.74146,Entire apartment,Entire home/apt,6,28,45,97,4.666666667,,,45
,,f,,37.98444,23.74038,Entire apartment,Entire home/apt,4,50,,,12.5,,,0
100,100,f,"Athina, Greece",37.99906,23.72812,Entire apartment,Entire home/apt,3,240,128,91,80,,,128
,,f,"Athina, Greece",37.9926,23.72908,Private room in apartment,Private room,2,40,,,20,,,0
100,100,f,"Athina, Greece",37.99357,23.72897,Entire apartment,Entire home/apt,9,78,,98,8.666666667,,,8
,,f,,37.96735,23.70729,Private room in apartment,Private room,2,20,,,10,,,0
100,,t,"Athina, Greece",37.97856,23.72462,Entire apartment,Entire home/apt,3,67,88,100,22.33333333,,,88
100,100,t,,37.9962,23.72787,Entire apartment,Entire home/apt,4,23,44,93,5.75,,,44
0,,f,,37.96753,23.7256,Entire apartment,Entire home/apt,5,150,,,30,,,0
100,100,f,"Athina, Greece",38.00277,23.72504,Entire loft,Entire home/apt,4,25,100,95,6.25,,,100
100,99,f,,37.96565,23.72116,Entire apartment,Entire home/apt,5,45,74,96,9,,,74
100,99,f,,37.98062,23.7359,Entire apartment,Entire home/apt,2,39,20,96,19.5,,,20
0,100,f,"Athina, Greece",37.96129,23.7379,Entire apartment,Entire home/apt,4,30,68,96,7.5,,,68
100,99,f,,37.97909,23.7359,Entire apartment,Entire home/apt,4,39,60,92,9.75,,,60
100,99,f,,37.98097,23.73623,Entire apartment,Entire home/apt,4,39,30,96,9.75,,,30
100,99,t,"Athina, Greece",37.9851,23.73099,Entire apartment,Entire home/apt,4,32,302,99,8,,,302
100,100,t,"Athina, Greece",37.96343,23.72006,Entire apartment,Entire home/apt,4,49,125,99,12.25,,,125
,,,"Athina, Greece",37.97987,23.72786,Entire apartment,Entire home/apt,7,139,26,97,19.85714286,,,26
100,100,t,"Athina, Greece",37.9754,23.70849,Entire apartment,Entire home/apt,4,50,135,99,12.5,,,135
,,f,,37.98723,23.71431,Entire apartment,Entire home/apt,2,30,,,15,,,0
67,67,f,,38.0005,23.72892,Entire apartment,Entire home/apt,4,24,31,94,6,,,31
,100,t,"Athina, Greece",37.975,23.71668,Entire apartment,Entire home/apt,4,40,84,99,10,,,84
100,60,f,,37.98496,23.73302,Entire apartment,Entire home/apt,6,80,,100,13.33333333,,,2
100,100,f,,37.98567,23.7329,Entire apartment,Entire home/apt,4,70,13,95,17.5,,,13
100,,f,,37.99359,23.74389,Entire condominium,Entire home/apt,4,34,,100,8.5,,,1
100,98,t,"Athina, Greece",38.00949,23.73443,Entire apartment,Entire home/apt,3,29,201,99,9.666666667,,,201
100,100,f,"Athina, Greece",37.97602,23.71609,Entire apartment,Entire home/apt,4,48,142,97,12,,,142
100,100,t,"Athina, Greece",37.96197,23.7226,Entire apartment,Entire home/apt,4,58,103,97,14.5,,,103
86,93,f,"Athina, Greece",38.00031,23.73801,Entire apartment,Entire home/apt,6,80,,,13.33333333,,,0
100,99,f,,37.9818,23.73569,Entire apartment,Entire home/apt,6,68,,95,11.33333333,,,4
0,100,f,"Athina, Greece",37.96538,23.72472,Entire apartment,Entire home/apt,5,42,124,97,8.4,,,124
,67,t,"Athina, Greece",37.97948,23.74412,Entire apartment,Entire home/apt,2,90,,100,45,,,6
99,99,t,"Athina, Greece",37.9711,23.73036,Entire apartment,Entire home/apt,3,27,285,99,9,,,285
90,77,f,"Athina, Greece",37.97354,23.73144,Entire loft,Entire home/apt,5,175,85,99,35,,,85
100,99,f,"Athina, Greece",37.97526,23.72737,Entire apartment,Entire home/apt,2,27,32,94,13.5,,,32
,,f,"Athina, Greece",37.97192,23.71142,Private room in apartment,Private room,2,25,,100,12.5,,,2
0,,f,"Athina, Greece",37.96338,23.74079,Entire apartment,Entire home/apt,5,50,,95,10,,,4
100,100,t,"Athina, Greece",37.98573,23.73836,Entire apartment,Entire home/apt,4,200,39,98,50,,,39
100,0,f,,37.99711,23.77211,Entire apartment,Entire home/apt,2,62,,100,31,,,6
100,100,t,"Athina, Greece",37.99186,23.75942,Entire apartment,Entire home/apt,2,65,65,99,32.5,,,65
,100,f,,37.99269,23.72503,Private room in apartment,Private room,2,20,219,93,10,,,219
99,100,f,"Athina, Greece",37.99979,23.73685,Entire loft,Entire home/apt,3,55,180,95,18.33333333,,,180
100,100,t,"Athina, Greece",37.96285,23.72166,Entire apartment,Entire home/apt,2,90,75,99,45,,,75
100,100,f,,38.00536,23.72888,Entire apartment,Entire home/apt,3,24,143,93,8,,,143
,,,"Athens, Greece",37.97558,23.73212,Private room in apartment,Private room,4,70,,100,17.5,,,1
,100,f,"Athina, Greece",37.9849,23.73868,Private room in apartment,Private room,2,24,13,97,12,,,13
,,f,,37.9825,23.76079,Entire apartment,Entire home/apt,3,95,,,31.66666667,,,0
,,,"Athens, Greece",37.97409,23.73282,Private room in apartment,Private room,4,70,,,17.5,,,0
,,,"Athens, Greece",37.97444,23.73254,Private room in apartment,Private room,2,50,,100,25,,,1
,,,"Athens, Greece",37.97444,23.73254,Private room in apartment,Private room,6,85,,,14.16666667,,,0
100,100,t,"Athina, Greece",37.96676,23.72983,Entire apartment,Entire home/apt,7,80,19,97,11.42857143,,,19
100,100,t,"Αθήνα, Γκαζι, Greece",37.97499,23.71166,Entire apartment,Entire home/apt,3,25,205,96,8.333333333,,,205
,,t,,37.96648,23.72699,Entire apartment,Entire home/apt,2,39,103,98,19.5,,,103
100,60,t,"Athina, Greece",37.9659,23.72728,Entire apartment,Entire home/apt,4,109,24,100,27.25,,,24
100,99,t,,37.99001,23.73011,Entire apartment,Entire home/apt,8,83,24,90,10.375,,,24
80,100,f,,37.99751,23.72945,Entire apartment,Entire home/apt,2,30,14,97,15,,,14
100,100,t,"Συκιές, Greece",37.98705,23.74247,Entire apartment,Entire home/apt,2,29,,100,14.5,,,9
,100,f,"Αθήνα, Κολωνός, Greece",37.99558,23.71892,Entire apartment,Entire home/apt,2,27,,100,13.5,,,7
100,95,t,"Athina, Greece",37.97421,23.73165,Entire apartment,Entire home/apt,4,47,134,98,11.75,,,134
,,,"Athina, Greece",37.97565,23.73082,Entire apartment,Entire home/apt,6,101,37,100,16.83333333,,,37
,100,f,"Athina, Greece",37.96672,23.73516,Entire apartment,Entire home/apt,6,50,,80,8.333333333,,,8
100,100,t,"Athina, Greece",37.98863,23.73497,Entire apartment,Entire home/apt,5,40,59,98,8,,,59
100,91,t,"Athina, Greece",37.96468,23.73831,Entire apartment,Entire home/apt,5,40,56,95,8,,,56
100,100,f,,38.01872,23.74039,Entire apartment,Entire home/apt,3,40,,100,13.33333333,,,4
100,81,f,"Athina, Greece",37.98481,23.7355,Entire apartment,Entire home/apt,3,30,114,87,10,,,114
100,,f,,37.95927,23.74273,Entire apartment,Entire home/apt,4,35,,,8.75,,,0
100,100,f,"Athina, Greece",37.96686,23.74402,Entire apartment,Entire home/apt,3,24,106,93,8,,,106
100,100,t,"Athina, Greece",37.96734,23.72844,Entire apartment,Entire home/apt,3,30,250,95,10,,,250
100,98,f,"Athina, Greece",37.96364,23.72181,Entire apartment,Entire home/apt,4,149,,97,37.25,,,7
83,0,f,"Athina, Greece",37.9876,23.71766,Entire apartment,Entire home/apt,2,18,,,9,,,4
100,98,f,"Athina, Attica, Greece",37.96244,23.7217,Entire apartment,Entire home/apt,6,88,,100,14.66666667,,,1
67,100,t,"Athina, Greece",37.96722,23.72666,Entire apartment,Entire home/apt,6,26,248,97,4.333333333,,,248
100,100,t,"Athina, Greece",37.96634,23.70384,Entire apartment,Entire home/apt,4,31,185,99,7.75,,,185
,100,t,"Athina, Greece",38.00652,23.7516,Entire apartment,Entire home/apt,2,20,59,98,10,,,59
100,,f,"Athina, Greece",37.97277,23.73265,Entire apartment,Entire home/apt,2,40,,100,20,,,6
90,98,f,"Athens, Attica, Greece",37.97558,23.73161,Entire loft,Entire home/apt,3,70,153,94,23.33333333,,,153
100,100,t,"Athina, Greece",37.97796,23.7271,Entire apartment,Entire home/apt,6,50,67,96,8.333333333,,,67
,,f,"Athina, Greece",37.98497,23.7324,Entire apartment,Entire home/apt,4,100,,100,25,,,2
,,f,,37.97967,23.74491,Entire apartment,Entire home/apt,2,35,63,98,17.5,,,63
,,f,,37.97463,23.7166,Entire apartment,Entire home/apt,4,80,,,20,,,0
100,100,f,,37.98345,23.76539,Private room in apartment,Private room,2,38,,,19,,,0
100,99,t,"Athina, Greece",37.97926,23.74778,Entire apartment,Entire home/apt,2,38,23,93,19,,,23
,,f,"Athina, Greece",38.01341,23.72387,Entire apartment,Entire home/apt,4,40,,100,10,,,1
100,97,f,"Athina, Greece",37.97837,23.74582,Entire apartment,Entire home/apt,4,25,63,94,6.25,,,63
100,100,f,,37.97867,23.7229,Entire apartment,Entire home/apt,5,35,,,7,,,0
100,100,f,"Athina, Greece",38.00039,23.74456,Entire apartment,Entire home/apt,4,32,20,96,8,,,20
100,88,t,"Athina, Greece",37.95949,23.73627,Entire apartment,Entire home/apt,4,40,61,96,10,,,61
,,f,,37.97761,23.70913,Entire apartment,Entire home/apt,4,59,,100,14.75,,,1
,,f,,37.97851,23.71087,Entire apartment,Entire home/apt,4,60,,,15,,,0
95,100,f,"Athina, Greece",37.9901,23.7644,Entire apartment,Entire home/apt,6,34,37,92,5.666666667,,,37
,,f,,37.97878,23.70894,Entire apartment,Entire home/apt,4,60,,,15,,,0
,,,"Athina, Greece",37.97154,23.74733,Entire apartment,Entire home/apt,4,39,,,9.75,,,0
,,f,,37.97667,23.70979,Entire apartment,Entire home/apt,4,60,,,15,,,0
,,f,,37.9781,23.70941,Entire apartment,Entire home/apt,4,59,,,14.75,,,0
,,f,,37.97649,23.70979,Entire apartment,Entire home/apt,4,60,,100,15,,,2
,,f,,37.97669,23.70922,Entire apartment,Entire home/apt,4,60,,,15,,,0
,,f,,37.97808,23.70919,Entire apartment,Entire home/apt,4,60,,,15,,,0
100,99,f,"Athens, Attica, Greece",37.98109,23.71636,Entire apartment,Entire home/apt,4,47,110,93,11.75,,,110
,,,"Athina, Greece",37.96724,23.74678,Entire apartment,Entire home/apt,6,49,24,98,8.166666667,,,24
,100,f,"Athina, Greece",37.98494,23.76121,Entire apartment,Entire home/apt,5,50,,100,10,,,2
100,100,t,,37.98731,23.74388,Entire apartment,Entire home/apt,3,35,119,98,11.66666667,,,119
95,100,f,"Athina, Greece",37.97826,23.73939,Entire apartment,Entire home/apt,7,67,18,98,9.571428571,,,18
,100,f,,37.99269,23.72503,Private room in apartment,Private room,2,20,192,93,10,,,192
,100,f,"Athina, Greece",37.97898,23.74301,Entire apartment,Entire home/apt,4,200,,100,50,,,8
99,99,t,"Athina, Greece",37.98877,23.72981,Entire apartment,Entire home/apt,5,55,116,95,11,,,116
100,100,t,"Athina, Greece",37.99468,23.77418,Entire apartment,Entire home/apt,3,33,131,99,11,,,131
,,f,,38.0219,23.74061,Entire apartment,Entire home/apt,2,55,,96,27.5,,,5
,,f,,37.96413,23.72156,Entire apartment,Entire home/apt,5,80,,,16,,,0
100,100,t,,37.97448,23.73016,Entire apartment,Entire home/apt,3,48,136,99,16,,,136
,,f,"Athina, Greece",37.98453,23.74037,Entire apartment,Entire home/apt,2,48,35,98,24,,,35
,,f,"Athina, Greece",37.98754,23.74201,Entire apartment,Entire home/apt,4,100,,100,25,,,1
99,100,f,"Athina, Greece",37.99947,23.72202,Entire apartment,Entire home/apt,6,30,139,91,5,,,139
100,100,t,"Athina, Greece",37.97772,23.72544,Entire apartment,Entire home/apt,5,77,187,97,15.4,,,187
100,,f,,37.98772,23.72217,Entire apartment,Entire home/apt,6,75,,90,12.5,,,4
100,100,t,,37.98789,23.72865,Entire apartment,Entire home/apt,4,38,56,98,9.5,,,56
100,97,t,"Athina, Greece",37.98465,23.73622,Entire loft,Entire home/apt,3,30,190,100,10,,,190
100,60,t,"Athina, Greece",37.9716,23.71946,Entire townhouse,Entire home/apt,4,80,17,90,20,,,17
,,,"Athina, Greece",37.96754,23.7239,Entire apartment,Entire home/apt,5,170,38,100,34,,,38
100,100,t,,37.97321,23.72869,Entire condominium,Entire home/apt,2,26,134,95,13,,,134
,100,t,"Athina, Greece",37.98209,23.71101,Entire apartment,Entire home/apt,4,65,119,99,16.25,,,119
100,100,t,"Athina, Greece",38.01492,23.73692,Entire apartment,Entire home/apt,4,30,22,92,7.5,,,22
,100,f,"Athina, Greece",37.96975,23.74323,Private room in apartment,Private room,3,17,28,83,5.666666667,,,28
,100,f,"Athina, Greece",37.96999,23.74369,Private room in apartment,Private room,2,16,47,85,8,,,47
,100,t,,37.99931,23.73013,Entire apartment,Entire home/apt,5,29,110,96,5.8,,,110
,,f,,37.99855,23.72617,Entire apartment,Entire home/apt,3,30,,84,10,,,5
,,f,,37.97461,23.72521,Entire guesthouse,Entire home/apt,4,60,,92,15,,,5
100,,f,"Athina, Greece",37.96098,23.72048,Entire apartment,Entire home/apt,2,59,,100,29.5,,,7
100,83,t,"Athina, Greece",38.01098,23.72108,Entire apartment,Entire home/apt,3,31,153,96,10.33333333,,,153
100,100,f,"Athina, Greece",37.97232,23.72064,Entire apartment,Entire home/apt,4,60,,100,15,,,2
96,100,t,"Athina, Greece",37.97078,23.74415,Entire apartment,Entire home/apt,8,118,100,99,14.75,,,100
,100,t,"Athina, Greece",37.99255,23.73003,Entire apartment,Entire home/apt,5,57,,100,11.4,,,1
,,f,,37.96937,23.70842,Entire house,Entire home/apt,3,49,27,98,16.33333333,,,27
100,100,f,"Athina, Greece",37.97785,23.74042,Entire apartment,Entire home/apt,6,48,12,98,8,,,12
100,100,f,"Athina, Greece",37.99776,23.7251,Private room in apartment,Private room,2,14,81,94,7,,,81
100,100,f,"Athina, Greece",37.9976,23.72654,Private room in apartment,Private room,2,14,108,94,7,,,108
100,100,f,"Athina, Greece",37.99613,23.72441,Private room in apartment,Private room,2,14,113,94,7,,,113
100,100,f,"Athina, Greece",37.99589,23.72463,Private room in apartment,Private room,2,14,154,95,7,,,154
100,100,t,"Athina, Greece",37.97559,23.72639,Entire apartment,Entire home/apt,6,290,,100,48.33333333,,,4
96,100,t,"Athina, Greece",37.97063,23.74422,Entire loft,Entire home/apt,10,172,102,99,17.2,,,102
100,,f,,37.95789,23.72502,Entire apartment,Entire home/apt,8,60,10,100,7.5,,,10
98,98,f,"Athina, Greece",37.96809,23.72583,Entire apartment,Entire home/apt,6,84,,97,14,,,7
100,100,f,"Athina, Greece",37.97974,23.70749,Entire apartment,Entire home/apt,4,55,75,95,13.75,,,75
,,f,,37.97994,23.73207,Entire house,Entire home/apt,3,150,,,50,,,0
,,f,,37.97741,23.74415,Entire guest suite,Entire home/apt,2,150,,,75,,,0
96,100,t,"Athina, Greece",37.97063,23.74422,Entire apartment,Entire home/apt,6,46,38,99,7.666666667,,,38
,,f,"Athina, Greece",37.95985,23.73077,Entire apartment,Entire home/apt,3,27,189,97,9,,,189
98,98,f,"Athens, Greece",37.96958,23.72672,Entire apartment,Entire home/apt,5,96,,90,19.2,,,4
100,100,f,"Athina, Greece",37.96961,23.74282,Entire apartment,Entire home/apt,4,42,12,98,10.5,,,12
99,99,t,"Athina, Greece",37.98814,23.72982,Entire apartment,Entire home/apt,5,54,138,97,10.8,,,138
100,100,t,,37.96531,23.72593,Entire apartment,Entire home/apt,4,75,76,98,18.75,,,76
,,f,"Athina, Greece",37.96715,23.7095,Entire house,Entire home/apt,4,49,40,97,12.25,,,40
,,,"Athina, Greece",37.97711,23.7536,Entire apartment,Entire home/apt,6,41,64,98,6.833333333,,,64
99,99,t,"Athina, Greece",37.98865,23.7297,Entire apartment,Entire home/apt,5,59,166,98,11.8,,,166
100,95,t,,37.99247,23.73003,Entire apartment,Entire home/apt,5,99,44,93,19.8,,,44
99,99,t,"Athina, Greece",37.96714,23.72673,Entire apartment,Entire home/apt,6,30,98,96,5,,,98
0,,f,,37.98298,23.75761,Entire apartment,Entire home/apt,2,200,29,94,100,,,29
,100,f,"Athina, Greece",37.98017,23.73008,Entire apartment,Entire home/apt,4,35,,,8.75,,,0
,100,t,"Athina, Greece",37.98565,23.73945,Entire apartment,Entire home/apt,3,40,69,97,13.33333333,,,69
100,95,t,"Athina, Greece",37.98348,23.75684,Entire apartment,Entire home/apt,4,47,67,95,11.75,,,67
96,100,t,"Athina, Greece",37.97063,23.74422,Entire apartment,Entire home/apt,4,30,17,100,7.5,,,17
,,f,"Athina, Greece",37.96807,23.72947,Entire apartment,Entire home/apt,3,115,,100,38.33333333,,,2
,,f,"Athens, Attica, Greece",37.96908,23.74215,Private room in bed and breakfast,Private room,2,119,,,59.5,,,0
,,f,"Athens, Greece",37.96965,23.74151,Private room in bed and breakfast,Private room,6,8000,,,1333.333333,,,0
80,92,t,"Athina, Greece",37.97859,23.72092,Entire loft,Entire home/apt,6,42,99,95,7,,,99
100,100,t,"Athina, Greece",37.97796,23.7271,Entire apartment,Entire home/apt,6,61,95,92,10.16666667,,,95
,,f,"Athens, Greece",37.9683,23.70994,Entire apartment,Entire home/apt,4,59,12,97,14.75,,,12
,,f,"Athina, Greece",37.98789,23.71279,Entire apartment,Entire home/apt,2,40,18,100,20,,,18
100,64,t,,37.96849,23.75292,Entire apartment,Entire home/apt,2,25,71,99,12.5,,,71
100,100,f,"Athina, Greece",37.97323,23.73463,Entire condominium,Entire home/apt,4,73,,100,18.25,,,3
100,100,f,"Athina, Greece",37.97532,23.73363,Entire condominium,Entire home/apt,6,83,,100,13.83333333,,,2
100,100,f,"Athina, Greece",37.97467,23.73543,Entire condominium,Entire home/apt,4,63,,100,15.75,,,1
100,99,t,"Athina, Greece",37.97879,23.72934,Entire apartment,Entire home/apt,5,58,,96,11.6,,,5
100,100,f,"Athina, Greece",37.97388,23.73537,Entire condominium,Entire home/apt,4,53,,93,13.25,,,4
0,,f,,37.96734,23.752,Entire apartment,Entire home/apt,3,45,,100,15,,,1
93,95,f,,37.9794,23.74507,Entire apartment,Entire home/apt,4,70,48,96,17.5,,,48
,,,,37.98487,23.73999,Private room in apartment,Private room,1,15,,,15,,,0
,100,t,,37.97393,23.73183,Entire apartment,Entire home/apt,2,50,203,98,25,,,203
99,99,t,"Athina, Greece",37.98283,23.72607,Entire apartment,Entire home/apt,5,55,174,95,11,,,174
,,f,"Athina, Greece",37.99036,23.75505,Entire apartment,Entire home/apt,4,33,24,97,8.25,,,24
,75,t,"Athina, Greece",37.98096,23.73988,Private room in apartment,Private room,2,19,111,99,9.5,,,111
,,f,,37.95674,23.72906,Entire house,Entire home/apt,6,40,,100,6.666666667,,,3
90,100,t,"Athina, Greece",38.0197,23.73024,Entire condominium,Entire home/apt,6,41,48,96,6.833333333,,,48
,,,"Athina, Greece",37.96593,23.75435,Entire apartment,Entire home/apt,4,30,,60,7.5,,,2
98,98,f,,37.98759,23.7208,Room in aparthotel,Private room,6,168,,87,28,,,3
98,98,f,,37.98759,23.7208,Room in boutique hotel,Private room,8,228,19,94,28.5,,,19
98,98,f,,37.98803,23.71984,Entire condominium,Entire home/apt,6,168,,95,28,,,4
,,f,"Athens, Greece",37.97113,23.74152,Private room in apartment,Private room,3,127,,,42.33333333,,,0
,,f,"Athina, Greece",37.98838,23.75518,Entire apartment,Entire home/apt,1,70,,,70,,,0
,,f,"Athina, Greece",37.95899,23.73037,Entire apartment,Entire home/apt,5,75,,87,15,,,3
0,,f,,37.96697,23.72876,Private room in bed and breakfast,Private room,1,58,,,58,,,0
0,,f,,37.96643,23.72927,Private room in bed and breakfast,Private room,2,68,,100,34,,,1
0,,f,,37.96563,23.72726,Private room in bed and breakfast,Private room,2,108,,,54,,,0
0,,f,,37.96574,23.72893,Private room in bed and breakfast,Private room,3,118,,,39.33333333,,,0
0,,f,,37.96568,23.72891,Private room in bed and breakfast,Private room,4,178,,,44.5,,,0
100,99,f,,37.96385,23.72579,Entire apartment,Entire home/apt,4,33,26,94,8.25,,,26
,0,f,,38.01152,23.73157,Entire apartment,Entire home/apt,4,40,,,10,,,0
100,60,f,,37.967,23.71351,Entire apartment,Entire home/apt,6,85,,,14.16666667,,,0
,,,"Athina, Greece",37.9886,23.7405,Private room in apartment,Private room,2,29,,89,14.5,,,9
100,100,t,"Athina, Greece",37.97543,23.7327,Entire apartment,Entire home/apt,3,47,132,99,15.66666667,,,132
96,100,t,"Athina, Greece",37.97063,23.74422,Entire apartment,Entire home/apt,4,31,30,100,7.75,,,30
,,f,,37.97762,23.74469,Entire apartment,Entire home/apt,2,35,,,17.5,,,0
100,100,t,"Athina, Greece",37.97743,23.74587,Entire apartment,Entire home/apt,2,43,22,94,21.5,,,22
96,100,t,"Athina, Greece",37.97063,23.74422,Entire apartment,Entire home/apt,4,42,,100,10.5,,,2
100,100,t,,38.01868,23.72697,Entire apartment,Entire home/apt,2,30,,93,15,,,6
,,f,"Athina, Greece",37.96727,23.7103,Entire apartment,Entire home/apt,4,59,,90,14.75,,,8
,,,"Αθήνα, Greece",37.97194,23.72975,Entire house,Entire home/apt,6,300,10,92,50,,,10
100,100,f,"Αθήνα, Αμπελοκηποι, Greece",37.99127,23.77168,Entire apartment,Entire home/apt,2,35,10,96,17.5,,,10
,100,t,"Dafni, Greece",37.95527,23.7299,Entire guesthouse,Entire home/apt,2,23,114,98,11.5,,,114
98,98,f,,37.98869,23.72057,Room in aparthotel,Private room,6,168,,92,28,,,5
98,98,f,,37.98759,23.7208,Room in aparthotel,Private room,6,185,,,30.83333333,,,0
,,f,"Athina, Greece",37.99622,23.73163,Entire apartment,Entire home/apt,3,70,52,87,23.33333333,,,52
98,98,f,,37.98759,23.7208,Room in aparthotel,Private room,4,108,,60,27,,,1
100,100,f,"Athina, Greece",37.9906,23.72231,Entire apartment,Entire home/apt,3,25,11,91,8.333333333,,,11
100,100,f,,37.96996,23.7153,Entire apartment,Entire home/apt,2,20,,100,10,,,6
,100,t,"Athina, Greece",37.98622,23.74067,Entire apartment,Entire home/apt,3,20,26,98,6.666666667,,,26
100,98,f,"Athina, Greece",37.99577,23.74553,Entire apartment,Entire home/apt,2,16,25,94,8,,,25
100,100,f,,37.97115,23.71706,Entire townhouse,Entire home/apt,5,160,,,32,,,0
,,f,"Athina, Greece",37.96899,23.72568,Entire apartment,Entire home/apt,4,67,,100,16.75,,,1
100,,f,"Athina, Greece",37.98815,23.73188,Entire apartment,Entire home/apt,5,60,56,96,12,,,56
,,f,"Athina, Greece",38.01439,23.72735,Entire apartment,Entire home/apt,3,50,,,16.66666667,,,0
95,98,t,"Athina, Greece",37.98006,23.72356,Entire apartment,Entire home/apt,4,33,15,91,8.25,,,15
99,99,t,"Athina, Greece",37.96404,23.71798,Entire apartment,Entire home/apt,8,41,74,95,5.125,,,74
