host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,property_type,room_type,accommodates,price,number_of_reviews,review_scores_rating,Prices per Person,,,number_of_reviews
100,100,t,"Athens, Attica, Greece",37.98784,23.73431,Entire apartment,Entire home/apt,5,41,480,94,8.2,,,480
,,t,"Athens, Greece",37.98137,23.75488,Entire loft,Entire home/apt,3,78,328,99,26,,,328
100,94,t,"Athina, Greece",37.99224,23.72945,Entire apartment,Entire home/apt,6,40,194,97,6.666666667,,,194
100,92,t,"Athens, Attica, Greece",37.96597,23.72303,Entire house,Entire home/apt,3,55,293,96,18.33333333,,,293
100,100,t,"Athina, Greece",37.97728,23.72334,Entire apartment,Entire home/apt,8,190,170,97,23.75,,,170
100,,f,"Αθήνα, Greece",37.99229,23.75862,Entire apartment,Entire home/apt,3,40,33,95,13.33333333,,,33
100,96,t,"Athens, Attica, Greece",37.98886,23.76467,Entire apartment,Entire home/apt,4,49,24,98,12.25,,,24
100,0,f,"Athens, Attica, Greece",37.97874,23.73681,Entire apartment,Entire home/apt,6,60,99,92,10,,,99
100,,f,"Athens, Attica, Greece",37.96595,23.72835,Entire apartment,Entire home/apt,4,35,63,96,8.75,,,63
100,100,f,"Athens, Αττική, Greece",37.98944,23.7578,Entire apartment,Entire home/apt,6,54,51,94,9,,,51
100,100,t,,37.97091,23.74216,Entire apartment,Entire home/apt,2,35,112,100,17.5,,,112
100,100,t,"Athens, Attica, Greece",37.97186,23.74679,Private room in apartment,Private room,2,20,278,98,10,,,278
100,100,t,"Athens, Attica, Greece",37.97312,23.73227,Entire apartment,Entire home/apt,5,52,335,97,10.4,,,335
100,100,t,"Athens, Attica, Greece",37.97159,23.74666,Private room in apartment,Private room,2,20,264,98,10,,,264
100,,t,"Athens, Attica, Greece",38.01279,23.72455,Entire apartment,Entire home/apt,3,25,191,93,8.333333333,,,191
100,,f,"Athens, Attica, Greece",37.99225,23.76889,Entire apartment,Entire home/apt,7,50,75,96,7.142857143,,,75
90,100,t,"Athens, Greece",37.97464,23.7173,Entire apartment,Entire home/apt,4,34,93,98,8.5,,,93
95,98,t,"Athens, Attica, Greece",37.97866,23.72512,Entire apartment,Entire home/apt,4,52,88,96,13,,,88
100,25,f,"Athens, Attica, Greece",37.99483,23.76658,Entire loft,Entire home/apt,6,54,49,95,9,,,49
100,90,t,"Athens, Attica, Greece",37.97472,23.73228,Entire apartment,Entire home/apt,2,61,227,97,30.5,,,227
100,100,t,"Athens, Attica, Greece",37.97971,23.72792,Entire apartment,Entire home/apt,7,100,209,96,14.28571429,,,209
100,100,t,"Athens, Attica, Greece",37.97025,23.73092,Entire apartment,Entire home/apt,4,90,189,98,22.5,,,189
